subject;condition;congruency;RT
2;vibro;normal;0.1
2;vibro;conflict;0.178
2;vibro;normal;0.114
2;vibro;normal;0.082
2;vibro;normal;0.096
2;vibro;conflict;0.132
2;vibro;normal;0.112
2;vibro;normal;0.08
2;vibro;normal;0.116
2;vibro;normal;0.152
2;vibro;normal;0.108
2;vibro;conflict;0.144
2;vibro;normal;0
2;vibro;normal;0.148
2;vibro;normal;0.094
2;vibro;normal;0.076
2;vibro;conflict;0.244
2;vibro;normal;0.136
2;vibro;conflict;0.226
2;vibro;normal;0
2;vibro;normal;0.086
2;vibro;conflict;0.234
2;vibro;normal;0.022
2;vibro;normal;0.06
2;vibro;normal;0.062
2;vibro;conflict;0.176
2;vibro;normal;0
2;vibro;normal;0.056
2;vibro;normal;0
2;vibro;normal;0.096
2;vibro;normal;0.108
2;vibro;conflict;0.166
2;vibro;normal;0
2;vibro;normal;0.08
2;vibro;normal;0.094
2;vibro;normal;0.04
2;vibro;conflict;0.12
2;vibro;normal;0.1
2;vibro;conflict;0.16
2;vibro;normal;0
2;vibro;normal;0.016
2;vibro;conflict;0.142
2;vibro;normal;0.01
2;vibro;normal;0.056
2;vibro;normal;0.082
2;vibro;conflict;0.152
2;vibro;normal;0.008
2;vibro;normal;0.076
2;vibro;normal;0.068
2;vibro;normal;0.082
2;vibro;normal;0.078
2;vibro;conflict;0.152
2;vibro;normal;0.1
2;vibro;normal;0.056
2;vibro;normal;0.004
2;vibro;normal;0.084
2;vibro;conflict;0.186
2;vibro;normal;0
2;vibro;conflict;0.19
2;vibro;normal;0.026
2;vibro;normal;0.026
2;vibro;conflict;0.152
2;vibro;normal;0.02
2;vibro;normal;0.044
2;vibro;normal;0.046
2;vibro;conflict;0.138
2;vibro;normal;0.018
2;vibro;normal;0.064
2;vibro;normal;0.134
2;vibro;normal;0.024
2;vibro;normal;0.072
2;vibro;conflict;0.252
2;vibro;normal;0.164
2;vibro;normal;0.122
2;vibro;normal;0.126
2;vibro;normal;0.092
2;vibro;conflict;0.18
2;vibro;normal;0
2;vibro;conflict;0.19
2;vibro;normal;0.092
2;vibro;normal;0.126
2;vibro;conflict;0.208
2;vibro;normal;0.12
2;vibro;normal;0.124
2;vibro;normal;0.102
2;vibro;conflict;0.25
2;vibro;normal;0.074
2;vibro;normal;0.144
2;vibro;normal;0.124
2;vibro;normal;0.17
2;vibro;normal;0.128
2;vibro;conflict;0.152
2;vibro;normal;0.108
2;vibro;normal;0.146
2;vibro;normal;0.012
2;vibro;normal;0.084
2;vibro;conflict;0.23
2;vibro;normal;0.152
2;vibro;conflict;0.234
2;vibro;normal;0.136
2;vibro;normal;0.104
2;vibro;conflict;0.22
2;vibro;normal;0.132
2;vibro;normal;0.1
2;vibro;normal;0.102
2;vibro;conflict;0.104
2;vibro;normal;0.096
2;vibro;normal;0.044
2;vibro;normal;0.054
2;vibro;normal;0.078
2;vibro;normal;0.158
2;vibro;conflict;0.272
2;vibro;normal;0.098
2;vibro;normal;0.122
2;vibro;normal;0.144
2;vibro;normal;0.092
2;vibro;conflict;0.152
2;vibro;normal;0.108
2;vibro;conflict;0.188
2;vibro;normal;0.192
2;vibro;normal;0
2;vibro;conflict;0.242
2;vibro;normal;0.14
2;vibro;normal;0.166
2;vibro;normal;0.112
2;vibro;conflict;0.238
2;vibro;normal;0
2;vibro;normal;0.13
2;vibro;normal;0.098
2;vibro;normal;0.09
2;vibro;normal;0.024
2;vibro;conflict;0.182
2;vibro;normal;0.038
2;vibro;normal;0.054
2;vibro;normal;0.078
2;vibro;normal;0.068
2;vibro;conflict;0.194
2;vibro;normal;0.04
2;vibro;conflict;0.198
2;vibro;normal;0.03
2;vibro;normal;0
2;vibro;conflict;0.136
2;vibro;normal;0.082
2;vibro;normal;0.052
2;vibro;normal;0.064
2;vibro;conflict;0.156
2;vibro;normal;0.064
2;vibro;normal;0.07
2;vibro;normal;0.04
2;vibro;normal;0.096
2;vibro;normal;0.054
2;vibro;conflict;0.19
2;vibro;normal;0.058
2;vibro;normal;0.048
2;vibro;normal;0.04
2;vibro;normal;0.032
2;vibro;conflict;0.1
2;vibro;normal;0.068
2;vibro;conflict;0.094
2;vibro;normal;0.096
2;vibro;normal;0.042
2;vibro;conflict;0.19
2;vibro;normal;0.058
2;vibro;normal;0.036
2;vibro;normal;0.038
2;vibro;conflict;0.208
2;vibro;normal;0.032
2;vibro;normal;0.048
2;vibro;normal;0.016
2;vibro;normal;0.03
2;vibro;normal;0.018
2;vibro;conflict;0.144
2;vibro;normal;0.094
2;vibro;normal;0.152
2;vibro;normal;0.1
2;vibro;normal;0.136
2;vibro;conflict;0.126
2;vibro;normal;0.094
2;vibro;conflict;0.162
2;vibro;normal;0.098
2;vibro;normal;0.134
2;vibro;conflict;0.192
2;vibro;normal;0.026
2;vibro;normal;0.072
2;vibro;normal;0
2;vibro;conflict;0.224
2;vibro;normal;0.102
2;vibro;normal;0.094
2;vibro;normal;0.084
2;vibro;normal;0.084
2;vibro;normal;0.064
2;vibro;conflict;0.202
2;vibro;normal;0.056
2;vibro;normal;0.082
2;vibro;normal;0.052
2;vibro;normal;0.064
2;vibro;conflict;0.124
2;vibro;normal;0.08
2;vibro;conflict;0.218
2;vibro;normal;0.142
2;vibro;normal;0.076
2;vibro;conflict;0.224
2;vibro;normal;0.07
2;vibro;normal;0
2;vibro;normal;0.084
2;vibro;conflict;0.222
2;vibro;normal;0.032
2;vibro;normal;0.068
2;vibro;normal;0.06
2;vibro;normal;0.118
2;vibro;normal;0.052
2;vibro;conflict;0.212
2;vibro;normal;0.102
2;vibro;normal;0.15
2;vibro;normal;0.04
2;vibro;normal;0.076
2;vibro;conflict;0.054
2;vibro;normal;0.056
2;vibro;conflict;0.192
2;vibro;normal;0.062
2;vibro;normal;0.03
2;vibro;conflict;0.198
2;vibro;normal;0.012
2;vibro;normal;0.092
2;vibro;normal;0.048
2;vibro;conflict;0.23
2;vibro;normal;0.056
2;vibro;normal;0.094
2;vibro;normal;0.058
2;vibro;normal;0.072
2;vibro;normal;0.086
2;vibro;conflict;0.22
2;vibro;normal;0.078
2;vibro;normal;0.07
2;vibro;normal;0.01
2;vibro;normal;0.04
2;vibro;conflict;0.304
2;vibro;normal;0
2;vibro;conflict;0.192
2;vibro;normal;0.028
2;vibro;normal;0.052
2;vibro;conflict;0.166
2;vibro;normal;0.054
2;vibro;normal;0.036
2;vibro;normal;0.094
2;vibro;conflict;0.242
2;vibro;normal;0.12
2;vibro;normal;0.1
2;vibro;normal;0.08
2;vibro;normal;0.06
2;vibro;normal;0.096
2;vibro;conflict;0.264
2;vibro;normal;0.122
2;vibro;normal;0.112
2;vibro;normal;0.082
2;vibro;normal;0.106
2;vibro;conflict;0.252
2;vibro;normal;0.064
2;vibro;conflict;0.158
2;vibro;normal;0.068
2;vibro;normal;0.082
2;vibro;conflict;0.208
2;vibro;normal;0.076
2;vibro;normal;0.112
2;vibro;normal;0.158
2;vibro;conflict;0.25
2;vibro;normal;0.062
2;vibro;normal;0.156
2;vibro;normal;0.09
2;vibro;normal;0.07
2;vibro;normal;0.048
2;vibro;conflict;0.208
2;vibro;conflict;0.208
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0.424
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0.186
3;ems;normal;0
3;ems;normal;0.23
3;ems;conflict;0
3;ems;normal;0.034
3;ems;normal;0
3;ems;normal;0.33
3;ems;conflict;0
3;ems;normal;0
3;ems;conflict;0.192
3;ems;normal;0.568
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0.236
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0.412
3;ems;conflict;0.366
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0.626
3;ems;normal;0.45
3;ems;normal;0.25
3;ems;conflict;0.36
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0.324
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0.434
3;ems;normal;0.168
3;ems;conflict;0.022
3;ems;normal;0.284
3;ems;normal;0.106
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0.136
3;ems;normal;0.202
3;ems;normal;0.014
3;ems;conflict;0.008
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;normal;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0
3;ems;conflict;0
3;ems;normal;0.04
3;ems;normal;0.114
3;ems;normal;0.2
3;ems;normal;0.184
3;vibro;normal;0.066
3;vibro;normal;0.134
3;vibro;conflict;0.158
3;vibro;normal;0.07
3;vibro;conflict;0.16
3;vibro;normal;0.084
3;vibro;normal;0.084
3;vibro;conflict;0.198
3;vibro;normal;0.054
3;vibro;normal;0.008
3;vibro;normal;0.112
3;vibro;normal;0.102
3;vibro;conflict;0.182
3;vibro;normal;0.094
3;vibro;normal;0.074
3;vibro;normal;0.028
3;vibro;normal;0.086
3;vibro;normal;0.02
3;vibro;conflict;0.176
3;vibro;normal;0.046
3;vibro;normal;0.068
3;vibro;normal;0.07
3;vibro;conflict;0.204
3;vibro;normal;0.032
3;vibro;conflict;0.196
3;vibro;normal;0.05
3;vibro;normal;0.088
3;vibro;conflict;0.132
3;vibro;normal;0.066
3;vibro;normal;0.09
3;vibro;normal;0.058
3;vibro;normal;0.026
3;vibro;conflict;0.162
3;vibro;normal;0.04
3;vibro;normal;0.084
3;vibro;normal;0.064
3;vibro;normal;0.054
3;vibro;normal;0.066
3;vibro;conflict;0.168
3;vibro;normal;0.058
3;vibro;normal;0.104
3;vibro;normal;0.07
3;vibro;conflict;0.14
3;vibro;normal;0.074
3;vibro;conflict;0.152
3;vibro;normal;0.108
3;vibro;normal;0.044
3;vibro;conflict;0.168
3;vibro;normal;0.024
3;vibro;normal;0.048
3;vibro;normal;0.036
3;vibro;normal;0.036
3;vibro;conflict;0.218
3;vibro;normal;0.074
3;vibro;normal;0.042
3;vibro;normal;0.066
3;vibro;normal;0.022
3;vibro;normal;0.09
3;vibro;conflict;0.202
3;vibro;normal;0.158
3;vibro;normal;0.06
3;vibro;normal;0.118
3;vibro;conflict;0.184
3;vibro;normal;0.064
3;vibro;conflict;0.232
3;vibro;normal;0.042
3;vibro;normal;0.112
3;vibro;conflict;0.2
3;vibro;normal;0.08
3;vibro;normal;0.082
3;vibro;normal;0.048
3;vibro;normal;0.072
3;vibro;conflict;0.186
3;vibro;normal;0.052
3;vibro;normal;0.042
3;vibro;normal;0.134
3;vibro;normal;0.088
3;vibro;normal;0.012
3;vibro;conflict;0.144
3;vibro;normal;0.048
3;vibro;normal;0.06
3;vibro;normal;0.096
3;vibro;conflict;0.218
3;vibro;normal;0.064
3;vibro;conflict;0.212
3;vibro;normal;0.054
3;vibro;normal;0.08
3;vibro;conflict;0.18
3;vibro;normal;0.082
3;vibro;normal;0.048
3;vibro;normal;0.072
3;vibro;normal;0.038
3;vibro;conflict;0.208
3;vibro;normal;0.066
3;vibro;normal;0.078
3;vibro;normal;0.056
3;vibro;normal;0.058
3;vibro;normal;0.102
3;vibro;conflict;0.172
3;vibro;normal;0.08
3;vibro;normal;0.17
3;vibro;normal;0.116
3;vibro;conflict;0.238
3;vibro;normal;0.106
3;vibro;conflict;0.252
3;vibro;normal;0.12
3;vibro;normal;0.176
3;vibro;conflict;0.212
3;vibro;normal;0.124
3;vibro;normal;0.058
3;vibro;normal;0.17
3;vibro;normal;0.116
3;vibro;conflict;0.262
3;vibro;normal;0.108
3;vibro;normal;0.108
3;vibro;normal;0.154
3;vibro;normal;0.054
3;vibro;normal;0.134
3;vibro;conflict;0.236
3;vibro;normal;0.046
3;vibro;normal;0.07
3;vibro;normal;0.104
3;vibro;conflict;0.196
3;vibro;normal;0.118
3;vibro;conflict;0.198
3;vibro;normal;0.098
3;vibro;normal;0.112
3;vibro;conflict;0.2
3;vibro;normal;0.058
3;vibro;normal;0.08
3;vibro;normal;0.048
3;vibro;normal;0.062
3;vibro;conflict;0.206
3;vibro;normal;0.074
3;vibro;normal;0.098
3;vibro;normal;0.088
3;vibro;normal;0.076
3;vibro;normal;0.112
3;vibro;conflict;0.226
3;vibro;normal;0.092
3;vibro;normal;0.082
3;vibro;normal;0.084
3;vibro;conflict;0.186
3;vibro;normal;0.086
3;vibro;conflict;0.166
3;vibro;normal;0.09
3;vibro;normal;0.068
3;vibro;conflict;0.19
3;vibro;normal;0.06
3;vibro;normal;0.058
3;vibro;normal;0.07
3;vibro;normal;0.06
3;vibro;conflict;0.196
3;vibro;normal;0.054
3;vibro;normal;0.066
3;vibro;normal;0.076
3;vibro;normal;0.034
3;vibro;normal;0.046
3;vibro;conflict;0.148
3;vibro;normal;0.084
3;vibro;normal;0.084
3;vibro;normal;0.084
3;vibro;conflict;0.164
3;vibro;normal;0.066
3;vibro;conflict;0.178
3;vibro;normal;0.068
3;vibro;normal;0.058
3;vibro;conflict;0.16
3;vibro;normal;0.026
3;vibro;normal;0.028
3;vibro;normal;0.006
3;vibro;normal;0.008
3;vibro;conflict;0.198
3;vibro;normal;0.022
3;vibro;normal;0.032
3;vibro;normal;0.024
3;vibro;normal;0.026
3;vibro;normal;0.082
3;vibro;conflict;0.174
3;vibro;normal;0.044
3;vibro;normal;0.028
3;vibro;normal;0.03
3;vibro;conflict;0.12
3;vibro;normal;0.044
3;vibro;conflict;0.136
3;vibro;normal;0.002
3;vibro;normal;0.07
3;vibro;conflict;0.162
3;vibro;normal;0.05
3;vibro;normal;0.108
3;vibro;normal;0.042
3;vibro;normal;0.052
3;vibro;conflict;0.188
3;vibro;normal;0.056
3;vibro;normal;0.024
3;vibro;normal;0.024
3;vibro;normal;0.026
3;vibro;normal;0.026
3;vibro;conflict;0.096
3;vibro;normal;0.056
3;vibro;normal;0.106
3;vibro;normal;0.098
3;vibro;conflict;0.28
3;vibro;normal;0.124
3;vibro;conflict;0.284
3;vibro;normal;0.064
3;vibro;normal;0.076
3;vibro;conflict;0.292
3;vibro;normal;0.116
3;vibro;normal;0.018
3;vibro;normal;0.054
3;vibro;normal;0.092
3;vibro;conflict;0.128
3;vibro;normal;0.064
3;vibro;normal;0.032
3;vibro;normal;0.046
3;vibro;normal;0.06
3;vibro;normal;0.04
3;vibro;conflict;0.256
3;vibro;normal;0.068
3;vibro;normal;0.026
3;vibro;normal;0.04
3;vibro;conflict;0.256
3;vibro;normal;0.058
3;vibro;conflict;0.216
3;vibro;normal;0.086
3;vibro;normal;0.112
3;vibro;conflict;0.206
3;vibro;normal;0.142
3;vibro;normal;0.11
3;vibro;normal;0.066
3;vibro;normal;0.104
3;vibro;conflict;0.23
3;vibro;normal;0.076
3;vibro;normal;0.114
3;vibro;normal;0.082
3;vibro;normal;0.13
3;vibro;normal;0.122
3;vibro;conflict;0.28
3;vibro;normal;0.136
3;vibro;normal;0.074
3;vibro;normal;0.1
3;vibro;conflict;0.17
3;vibro;normal;0.106
3;vibro;conflict;0.196
3;vibro;normal;0.086
3;vibro;normal;0.078
3;vibro;conflict;0.226
3;vibro;normal;0.106
3;vibro;normal;0.054
3;vibro;normal;0.078
3;vibro;normal;0.07
3;vibro;conflict;0.252
3;vibro;normal;0.098
3;vibro;normal;0.09
3;vibro;normal;0.074
3;vibro;normal;0.128
3;vibro;normal;0.142
3;vibro;conflict;0.246
3;vibro;normal;0.104
3;vibro;normal;0.138
3;vibro;normal;0.008
3;vibro;conflict;0.258
3;vibro;normal;0
3;vibro;conflict;0.206
3;vibro;normal;0.078
3;vibro;normal;0
3;vibro;conflict;0.234
3;vibro;normal;0.072
3;vibro;normal;0
3;vibro;normal;0.022
3;vibro;normal;0.046
3;vibro;conflict;0.194
3;vibro;normal;0.086
3;vibro;normal;0
3;vibro;normal;0
3;vibro;normal;0
3;vibro;normal;0.086
3;vibro;conflict;0.198
3;vibro;normal;0.024
3;vibro;normal;0.07
3;vibro;normal;0
3;vibro;conflict;0.166
3;vibro;normal;0.078
3;vibro;conflict;0.226
3;vibro;normal;0.018
3;vibro;normal;0.088
3;vibro;conflict;0.202
3;vibro;normal;0.026
3;vibro;normal;0
3;vibro;normal;0.064
3;vibro;normal;0.066
3;vibro;conflict;0.18
3;vibro;normal;0.004
3;vibro;normal;0.062
3;vibro;normal;0.01
3;vibro;normal;0.024
3;vibro;normal;0.026
3;vibro;conflict;0.254
3;visual;normal;0.088
3;visual;conflict;0.216
3;visual;normal;0.16
3;visual;normal;0.074
3;visual;normal;0.176
3;visual;normal;0.102
3;visual;conflict;0.248
3;visual;normal;0.038
3;visual;normal;0.086
3;visual;normal;0.054
3;visual;conflict;0.19
3;visual;normal;0.082
3;visual;normal;0.04
3;visual;normal;0.064
3;visual;normal;0.064
3;visual;normal;0.08
3;visual;conflict;0.214
3;visual;normal;0.084
3;visual;normal;0.074
3;visual;conflict;0.222
3;visual;normal;0.046
3;visual;conflict;0.226
3;visual;normal;0.06
3;visual;normal;0.074
3;visual;normal;0.076
3;visual;normal;0.08
3;visual;conflict;0.138
3;visual;normal;0.096
3;visual;normal;0.12
3;visual;normal;0.076
3;visual;conflict;0.146
3;visual;normal;0.058
3;visual;normal;0.06
3;visual;normal;0.028
3;visual;normal;0.044
3;visual;normal;0.056
3;visual;conflict;0.17
3;visual;normal;0.066
3;visual;normal;0.084
3;visual;conflict;0.188
3;visual;normal;0.034
3;visual;conflict;0.18
3;visual;normal;0.05
3;visual;normal;0.032
3;visual;normal;0.054
3;visual;normal;0.068
3;visual;conflict;0.192
3;visual;normal;0.062
3;visual;normal;0.018
3;visual;normal;0.056
3;visual;conflict;0.168
3;visual;normal;0.026
3;visual;normal;0.082
3;visual;normal;0.04
3;visual;normal;0.02
3;visual;normal;0.022
3;visual;conflict;0.17
3;visual;normal;0.026
3;visual;normal;0
3;visual;conflict;0.098
3;visual;normal;0.056
3;visual;conflict;0.136
3;visual;normal;0.016
3;visual;normal;0.064
3;visual;normal;0.042
3;visual;normal;0.022
3;visual;conflict;0.17
3;visual;normal;0.016
3;visual;normal;0.04
3;visual;normal;0.032
3;visual;conflict;0.188
3;visual;normal;0.024
3;visual;normal;0.048
3;visual;normal;0.376
3;visual;normal;0
3;visual;normal;0.01
3;visual;conflict;0.148
3;visual;normal;0.038
3;visual;normal;0.018
3;visual;conflict;0.154
3;visual;normal;0.042
3;visual;conflict;0.146
3;visual;normal;0.036
3;visual;normal;0.064
3;visual;normal;0.03
3;visual;normal;0.066
3;visual;conflict;0.226
3;visual;normal;0.026
3;visual;normal;0.008
3;visual;normal;0.054
3;visual;conflict;0.146
3;visual;normal;0.08
3;visual;normal;0.004
3;visual;normal;0.062
3;visual;normal;0.076
3;visual;normal;0.056
3;visual;conflict;0.146
3;visual;normal;0.07
3;visual;normal;0.04
3;visual;conflict;0.152
3;visual;normal;0.05
3;visual;conflict;0.186
3;visual;normal;0.088
3;visual;normal;0.09
3;visual;normal;0.092
3;visual;normal;0.104
3;visual;conflict;0.24
3;visual;normal;0.098
3;visual;normal;0.1
3;visual;normal;0.092
3;visual;conflict;0.238
3;visual;normal;0.128
3;visual;normal;0.1
3;visual;normal;0.068
3;visual;normal;0.114
3;visual;normal;0.016
3;visual;conflict;0.22
3;visual;normal;0.086
3;visual;normal;0.102
3;visual;conflict;0.236
3;visual;normal;0.106
3;visual;conflict;0.216
3;visual;normal;0.108
3;visual;normal;0.132
3;visual;normal;0.136
3;visual;normal;0.16
3;visual;conflict;0.242
3;visual;normal;0.12
3;visual;normal;0.156
3;visual;normal;0.126
3;visual;conflict;0.228
3;visual;normal;0.186
3;visual;normal;0.222
3;visual;normal;0.112
3;visual;normal;0.148
3;visual;normal;0.116
3;visual;conflict;0.296
3;visual;normal;0.1
3;visual;normal;0.034
3;visual;conflict;0.264
3;visual;normal;0.116
3;visual;conflict;0.252
3;visual;normal;0.13
3;visual;normal;0.112
3;visual;normal;0.16
3;visual;normal;0.15
3;visual;conflict;0.274
3;visual;normal;0.166
3;visual;normal;0.18
3;visual;normal;0.036
3;visual;conflict;0.284
3;visual;normal;0.164
3;visual;normal;0.132
3;visual;normal;0.168
3;visual;normal;0.158
3;visual;normal;0.14
3;visual;conflict;0.286
3;visual;normal;0.21
3;visual;normal;0.19
3;visual;conflict;0.304
3;visual;normal;0.162
3;visual;conflict;0.208
3;visual;normal;0.12
3;visual;normal;0.156
3;visual;normal;0.124
3;visual;normal;0.114
3;visual;conflict;0.298
3;visual;normal;0.098
3;visual;normal;0.132
3;visual;normal;0.114
3;visual;conflict;0.272
3;visual;normal;0.174
3;visual;normal;0.152
3;visual;normal;0.146
3;visual;normal;0.148
3;visual;normal;0.182
3;visual;conflict;0.262
3;visual;normal;0.176
3;visual;normal;0.188
3;visual;conflict;0.236
3;visual;normal;0.138
3;visual;conflict;0.274
3;visual;normal;0.154
3;visual;normal;0.2
3;visual;normal;0.226
3;visual;normal;0.194
3;visual;conflict;0.24
3;visual;normal;0.096
3;visual;normal;0.044
3;visual;normal;0.092
3;visual;conflict;0.214
3;visual;normal;0.062
3;visual;normal;0.03
3;visual;normal;0
3;visual;normal;0
3;visual;normal;0.394
3;visual;conflict;0.118
3;visual;normal;0
3;visual;normal;0.344
3;visual;conflict;0.09
3;visual;normal;0.064
3;visual;conflict;0.2
3;visual;normal;0.046
3;visual;normal;0.082
3;visual;normal;0.028
3;visual;normal;0.042
3;visual;conflict;0.188
3;visual;normal;0.056
3;visual;normal;0.07
3;visual;normal;0.026
3;visual;conflict;0.22
3;visual;normal;0.042
3;visual;normal;0.034
3;visual;normal;0.046
3;visual;normal;0.072
3;visual;normal;0.108
3;visual;conflict;0.222
3;visual;normal;0.112
3;visual;normal;0.116
3;visual;conflict;0.238
3;visual;normal;0.074
3;visual;conflict;0.266
3;visual;normal;0.01
3;visual;normal;0.058
3;visual;normal;0.118
3;visual;normal;0.072
3;visual;conflict;0.198
3;visual;normal;0.066
3;visual;normal;0.08
3;visual;normal;0.07
3;visual;conflict;0.23
3;visual;normal;0.098
3;visual;normal;0.066
3;visual;normal;0.09
3;visual;normal;0.082
3;visual;normal;0.108
3;visual;conflict;0.21
3;visual;normal;0.088
3;visual;normal;0.114
3;visual;conflict;0.226
3;visual;normal;0.084
3;visual;conflict;0.23
3;visual;normal;0.1
3;visual;normal;0.114
3;visual;normal;0.104
3;visual;normal;0.094
3;visual;conflict;0.254
3;visual;normal;0.1
3;visual;normal;0.102
3;visual;normal;0.148
3;visual;conflict;0.296
3;visual;normal;0.154
3;visual;normal;0.144
3;visual;normal;0.092
3;visual;normal;0.128
3;visual;normal;0.118
3;visual;conflict;0.322
3;visual;normal;0.032
3;visual;normal;0.046
3;visual;conflict;0.284
3;visual;normal;0.062
3;visual;conflict;0.232
3;visual;normal;0.078
3;visual;normal;0.068
3;visual;normal;0.082
3;visual;normal;0.108
3;visual;conflict;0.254
3;visual;normal;0.044
3;visual;normal;0.036
3;visual;normal;0.104
3;visual;conflict;0.242
3;visual;normal;0.108
3;visual;normal;0.1
3;visual;normal;0.124
3;visual;normal;0.14
3;visual;normal;0.14
3;visual;conflict;0.256
3;visual;normal;0.102
3;visual;normal;0.06
3;visual;conflict;0.308
3;visual;normal;0.142
3;visual;conflict;0.254
3;visual;normal;0.078
3;visual;normal;0.16
3;visual;normal;0.094
3;visual;normal;0.096
3;visual;conflict;0.288
3;visual;normal;0.078
3;visual;normal;0.07
3;visual;normal;0.072
3;visual;conflict;0.286
3;visual;normal;0.11
3;visual;normal;0.046
3;visual;normal;0.126
3;visual;normal;0.05
3;visual;normal;0.13
3;visual;conflict;0.268
3;visual;normal;0.078
3;visual;normal;0.07
3;visual;conflict;0.306
6;ems;normal;0.104
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0
6;ems;conflict;0.378
6;ems;normal;0
